Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6,Q6_6_TEXT,Q7,Q7_14_TEXT,Q8_4,Q9,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27_2,Q28,Q29,Q30_4,Q31,Q32_4,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q35,Q36,Q37,Q38,Q39,Q39_44_TEXT,Q40,Q41,Q41_19_TEXT,Q42,Q43,Q44,Q45,Q46,Q46_101_TEXT,Finished
Yes,Yes,Nonequity,Yes,"Bonus,Nonequity incentive compensation",,"Formulaic, based on individual performance",,"401K,SERP (Supplemental Executive Retirement Plan),Medical,Dental,Short-term disability,Long-term disability,Life insurance",,8,No,Time and a half,,8,No,,Yes,No,Yes,Yes,625,1850,Stay the same,Increase,400,416000,Yes,0,,0,Somewhat satisfied,Yes,10,About the same,,Mostly dissatisfied,Very dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Highly important,Highly important,Not important,Highly important,Somewhat important,No,700,230,14,Employment,,United States,New York,,10016,Female,45,Hispanic,Northwestern University (Pritzker),,1
Yes,Yes,Equity,No,"Bonus,Nonequity incentive compensation,Stock",,"Formulaic, based on individual performance",,"401K,Cash balance pension plan,SERP (Supplemental Executive Retirement Plan),Medical,Dental,Short-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,8,No,,No,No,No,Yes,750,2000,Stay the same,Stay the same,200,1000000,Yes,0,8,,Neither satisfied or dissatisfied,No,,About the same,0,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,200,30,20,Energy,,United States,Dallas,,75166,Male,55,White,University of Missouri,,1
Yes,No,,No,"Bonus,Cashouts",,"Discretionary, based on firm performance",,"401K,Medical,Life insurance",,0,Yes,Organization doesn't compensate for overtime,,5,No,,No,,No,No,350,2500,Decrease,Increase,3000,300000,Yes,150000,12,,Neither satisfied or dissatisfied,No,,Somewhat less,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Not important,Somewhat important,Not important,Highly important,Not important,Yes,40,5,5,Transportation,,United States,New York,,11231,Male,49,White,William & Mary Law School,,1
Yes,Yes,Equity,Yes,"Bonus,Cashouts",,"Discretionary, based on firm performance",,Medical,,,Yes,Organization doesn't compensate for overtime,,7,No,,No,No,Yes,No,900,1800,Stay the same,Decrease,500,1000000,No,500000,,1,Somewhat dissatisfied,No,,Somewhat more,7,Mostly dissatisfied,Mostly satisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,1900,400,5,Energy,,Western Europe,,,,Male,52,White,Other,,1
Yes,No,,Yes,Other,Salary plus bonus,"Discretionary, based on firm performance",,"401K,Medical,Dental",,0,No,Organization doesn't compensate for overtime,,10,No,,No,,Yes,No,810,2000,Stay the same,Stay the same,400,385000,No,285000,,-25,Somewhat dissatisfied,No,,Much less,,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Yes,70,30,2,Capital Markets,,United States,New York,,11010,Male,69,White,"Rutgers, The State University of New Jersey",,1
Yes,Yes,Nonequity,No,"Bonus,Nonequity incentive compensation",,Entirely discretionary,,"Medical,Dental,Long-term disability,Life insurance",,,No,Organization doesn't compensate for overtime,,10,No,,Yes,Yes,Yes,No,645,1600,Stay the same,Stay the same,800,370000,Yes,350000,12,,Somewhat dissatisfied,Yes,5,Somewhat less,,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly dissatisfied,Mostly satisfied,Mostly satisfied,Highly important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No,500,325,5,Intellectual Property,,United States,Atlanta,,30363,Male,47,White,University of North Carolina--Chapel Hill,,1
Yes,Yes,Nonequity,Yes,Bonus,,Entirely discretionary,,"401K,SERP (Supplemental Executive Retirement Plan),Medical,Dental,Short-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,8,No,,No,No,Yes,No,625,1400,Decrease,Increase,400,330000,No,330000,,0,Neither satisfied or dissatisfied,Yes,15,Somewhat less,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Highly important,Highly important,Somewhat important,Highly important,Somewhat important,No,250,160,3,Government Contracts,,United States,Washington D.C.,,20004,Male,44,White,University of California--Los Angeles,,1
Yes,Yes,Equity,No,Bonus,,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Dental,Life insurance",,4,No,Organization doesn't compensate for overtime,,10,No,,No,No,Yes,No,450,2200,Increase,Stay the same,30,270000,Yes,"120,000",6,,Somewhat satisfied,No,,Much more,60,Mostly dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Mostly dissatisfied,Very dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Extremely important,Not important,Not important,Highly important,Highly important,No,25,5,2,Trials,,United States,Miami,,33134,Female,34,Hispanic,Florida International University,,1
Yes,Yes,Nonequity,No,,,No plan,,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,4.5,No,Organization doesn't compensate for overtime,,12,No,,No,No,Yes,No,175,1800,Decrease,Stay the same,150,115000,No,0,7,,Very dissatisfied,No,,Somewhat less,,Mostly dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Mostly satisfied,Very dissatisfied,Mostly dissatisfied,Very dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Highly important,Highly important,Highly important,Highly important,Highly important,Yes,150,70,8,Personal Injury,,United States,Other (Please specify),Pittsburgh,15228,Female,71,White,Other,,1
Yes,Yes,Nonequity,No,Bonus,,"Discretionary, based on firm performance",,"Defined benefit pension plan,Cash balance pension plan,Medical,Life insurance,Gym/health club membership",,,Yes,Organization doesn't compensate for overtime,,10,No,,No,No,No,No,850,1400,Increase,Increase,800,200000,Yes,0,10,,Neither satisfied or dissatisfied,No,,Somewhat less,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Highly important,Highly important,Highly important,Highly important,Highly important,Yes,150,25,1,General Litigation,,Western Europe,,,,Undisclosed,37,Prefer not to identify,Other,,1
Yes,Yes,Nonequity,No,Bonus,,"Formulaic, based on individual performance",,"401K,Life insurance",,0,No,Organization doesn't compensate for overtime,,7,No,,No,No,Yes,No,225,2100,Stay the same,Stay the same,250,140000,Yes,15000,7,,Neither satisfied or dissatisfied,No,,Somewhat less,,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Highly important,Extremely important,Somewhat important,Extremely important,Highly important,Yes,1500,400,4,General Litigation,,United States,Los Angeles,,92101,Undisclosed,40,Prefer not to identify,University of San Diego,,1
Yes,Yes,Equity,No,"Stock,Cashouts,Other",points base,"Discretionary, based on firm performance",,Medical,,,No,Organization doesn't compensate for overtime,,8,No,,No,No,Yes,No,460,1900,Stay the same,Stay the same,600,900000,No,400000,2,,Somewhat satisfied,Yes,15,Somewhat less,70,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Yes,1000,500,6,Capital Markets,,Latin America,,,,Male,50,Hispanic,Other,,1
Yes,Yes,Nonequity,No,"Bonus,Nonequity incentive compensation",,"Formulaic, based on individual performance",,"401K,Medical",,0.0125,No,Organization doesn't compensate for overtime,,10,No,,No,Yes,Yes,No,350,2000,Stay the same,Stay the same,0,235000,Yes,0,10,,Somewhat dissatisfied,No,,Somewhat less,,Mostly dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very dissatisfied,Very satisfied,Very satisfied,Extremely important,Not important,Not important,Extremely important,Not important,Yes,500,50,10,Other (Please specify),workers' compensation,United States,Other (Please specify),Tampa,33602,Male,52,Hispanic,Florida State University,,1
Yes,Yes,Equity,No,"Bonus,Other",Draw,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,4,No,Time and a half,,8,Yes,n/a,No,No,Yes,No,850,1500,Decrease,Decrease,1000,900000,No,na,7,,Somewhat satisfied,No,,Somewhat more,5,Mostly satisfied,Mostly dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Highly important,Highly important,Somewhat important,Highly important,Somewhat important,Yes,140,65,30,Tax,,United States,Houston,,77002,Male,67,White,University of Texas--Austin,,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation",,Entirely discretionary,,"401K,Profit sharing plan,Defined benefit pension plan,SERP (Supplemental Executive Retirement Plan),Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,8,No,,No,No,Yes,No,1120,950,Stay the same,Stay the same,1500,535000,Yes,535000,,0,Somewhat satisfied,Yes,15,About the same,6,Mostly satisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Somewhat important,Somewhat important,Highly important,Highly important,Not important,Yes,850,300,17,Mergers & Acquisitions,,United States,New York,,10036,Male,62,White,Georgetown University,,1
Yes,Yes,Nonequity,Yes,Nonequity incentive compensation,,Entirely discretionary,,Life insurance,,,No,Organization doesn't compensate for overtime,,10,Yes,300000,Yes,Yes,Yes,No,700,700,Decrease,Decrease,1200,200000,No,180000,,5,Neither satisfied or dissatisfied,No,,Somewhat less,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Highly important,Somewhat important,Somewhat important,Highly important,Not important,Yes,1000,400,8,International Trade,,Western Europe,,,,Undisclosed,47,White,Other,,1
Yes,No,,No,Bonus,,"Formulaic, based on individual performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,3,No,Organization doesn't compensate for overtime,,5,No,,No,,Yes,No,200,2300,Stay the same,Stay the same,0,290000,Yes,"250,000",4,,Very satisfied,No,,Somewhat more,,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Somewhat important,Highly important,Not important,Highly important,Somewhat important,Yes,500,100,3,Insurance,,United States,Miami,,32910,Female,36,Prefer not to identify,Other,,1
Yes,Yes,Nonequity,Yes,Bonus,,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Time and a half,,8,No,,Yes,No,Yes,Yes,790,1700,Increase,Stay the same,700,475000,Yes,375000,,42,Very satisfied,Yes,20,Somewhat more,,Very dissatisfied,Very dissatisfied,Very dissatisfied,Mostly dissatisfied,Very dissatisfied,Very dissatisfied,Mostly dissatisfied,Very dissatisfied,Very dissatisfied,Extremely important,Extremely important,Somewhat important,Highly important,Highly important,Yes,675,250,4,Other (Please specify),Trusts and estates,United States,Chicago,,60661,Male,40,White,Loyola University Chicago,,1
Yes,Yes,Equity,No,"Bonus,Nonequity incentive compensation,Other",membership shares,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Defined benefit pension plan,Cash balance pension plan,SERP (Supplemental Executive Retirement Plan),Medical,Dental,Short-term disability,Long-term disability,Life insurance,Other",but I pay for all of above as equity partner,0,No,Organization doesn't compensate for overtime,,8,No,,Yes,Yes,Yes,Yes,800,1900,Increase,Increase,700,1600000,Yes,0,7,,Somewhat satisfied,Yes,25,Somewhat more,20,Mostly satisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,1300,650,23,Health Care,,United States,Chicago,,60606,Male,56,White,Washington University in St. Louis,,1
Yes,Yes,Nonequity,Yes,"Bonus,Nonequity incentive compensation",,Other,discretionary based on billable hours,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Other,overtime is only available to staff not attorneys,8,No,,Yes,Yes,Yes,No,895,1200,Increase,Increase,1200,320000,Yes,0,,20,Very dissatisfied,Yes,15,Much less,,Very dissatisfied,Very satisfied,Very satisfied,Mostly dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Extremely important,Extremely important,Somewhat important,Extremely important,Somewhat important,No,1600,800,8,Other (Please specify),regulatory compliance,United States,Washington D.C.,,20006,Female,42,White,American University (Washington),,1
Yes,Yes,Equity,No,Bonus,,Other,discretionary based on individual and firm performance,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance,Gym/health club membership",,4.5,No,Time and a half,,7,Yes,"275,000",No,No,Yes,No,400,1600,Stay the same,Stay the same,650,400000,No,"252,000",7,,Neither satisfied or dissatisfied,No,,Somewhat less,5,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Highly important,Somewhat important,Somewhat important,Extremely important,Somewhat important,Yes,30,17,20,Employment,,United States,Chicago,,60606,Male,54,White,Northwestern University (Pritzker),,1
Yes,Yes,Nonequity,No,Bonus,,Entirely discretionary,,"401K,Medical,Dental,Long-term disability,Life insurance,Car allowance,Gym/health club membership",,0,No,Time and a half,,7,No,,No,No,Yes,Yes,250,2000,Stay the same,Stay the same,500,400000,Yes,290000,5,,Somewhat satisfied,No,,Somewhat less,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Highly important,Highly important,Highly important,Highly important,Highly important,Yes,350,80,13,Commercial Contracts,,United States,San Francisco,,94520,Male,85,White,University of California (Hastings),,1
Yes,Yes,Nonequity,No,"Bonus,Cashouts",,"Formulaic, based on individual performance",,"Defined benefit pension plan,Medical,Dental,Car allowance,Company car",,,Yes,Time and a half,,10,Yes,4500,No,No,Yes,No,50,2000,Increase,Increase,200,60000,Yes,10000,8,,Very satisfied,No,,Somewhat more,,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Highly important,Somewhat important,Somewhat important,Highly important,Somewhat important,Yes,25,10,15,Banking,,Middle East Africa,,,,Male,47,Black,Other,,1
Yes,Yes,Equity,No,"Bonus,Cashouts",,"Formulaic, based on firm performance",,"Defined benefit pension plan,SERP (Supplemental Executive Retirement Plan),Medical,Life insurance,Gym/health club membership",,,Yes,Organization doesn't compensate for overtime,,7,No,,Yes,Yes,Yes,No,730,1000,Decrease,Decrease,1000,320000,Yes,25000,8,,Somewhat dissatisfied,No,,About the same,,Very dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Very dissatisfied,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,No,3500,1200,3,Other (Please specify),Government Affairs,Middle East Africa,,,,Male,45,Prefer not to identify,Other,,1
Yes,Yes,Equity,No,Cashouts,,"Formulaic, based on individual performance",,"Cash balance pension plan,Car allowance",,,Yes,Organization doesn't compensate for overtime,,10,No,,Yes,No,No,No,600,1500,Decrease,Increase,750,200000,Yes,0,7,,Very satisfied,No,,Somewhat less,80,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Highly important,Highly important,Highly important,Somewhat important,Highly important,Yes,450,63,6,Bankruptcy,,Western Europe,,,,Female,55,Prefer not to identify,Other,,1
Yes,Yes,Nonequity,Yes,"Bonus,Nonequity incentive compensation",,"Discretionary, based on firm performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,10,No,Organization doesn't compensate for overtime,,10,No,,No,No,Yes,No,495,1700,Stay the same,Stay the same,400,600000,Yes,"350,000",,25,Very satisfied,No,,About the same,,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Somewhat important,Somewhat important,Not important,Somewhat important,Not important,Yes,400,160,10,Product Liability,,United States,Philadelphia,,19103,Female,45,White,Other,,1
Yes,Yes,Equity,No,"Bonus,Nonequity incentive compensation",,"Formulaic, based on firm performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,5,No,Organization doesn't compensate for overtime,,8,Yes,120000,No,No,No,No,340,1850,Stay the same,Stay the same,300,121500,No,0,4,,Neither satisfied or dissatisfied,No,,Much less,0,Very dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Highly important,Somewhat important,Not important,Not important,Not important,Yes,62,28,9,Bankruptcy,,United States,Detroit,,48009,Male,53,White,University of Michigan--Ann Arbor,,1
Yes,Yes,Nonequity,No,"Bonus,Stock",,"Discretionary, based on firm performance",,"Cash balance pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,,Yes,Time and a half,,8,Yes,500000,No,No,Yes,No,575,2000,Stay the same,Stay the same,250,500000,Yes,350000,7,,Somewhat satisfied,Yes,10,About the same,,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Extremely important,Highly important,Somewhat important,Highly important,Somewhat important,Yes,80,30,10,Commercial Contracts,,United States,Houston,,77077,Female,49,Black,Baylor University,,1
Yes,Yes,Nonequity,Yes,"Bonus,Nonequity incentive compensation",,"Formulaic, based on individual performance",,"401K,Medical,Dental,Short-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,9,No,,No,No,Yes,No,350,2000,Stay the same,Decrease,250,280000,No,280000,,10,Neither satisfied or dissatisfied,No,,Somewhat less,,Neither satisfied nor dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Highly important,Highly important,Somewhat important,Highly important,Somewhat important,Yes,40,20,7,Insurance,,United States,Chicago,,60601,Male,48,White,Other,,1
Yes,Yes,Equity,No,"Bonus,Nonequity incentive compensation,Stock",,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Medical,Dental,Long-term disability,Life insurance",,3,No,Other,"no overtime for attorneys, staff paid per laws of state",8,No,,Yes,No,Yes,Yes,650,2250,Increase,Stay the same,175,750000,Yes,295000,7,,Very satisfied,No,,Somewhat more,1,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Extremely important,Extremely important,Highly important,Highly important,Somewhat important,Yes,750,230,18,Other (Please specify),Subrogation Litigation,United States,Other (Please specify),San Diego,92101,Male,61,White,University of San Diego,,1
Yes,Yes,Nonequity,Yes,Bonus,,Entirely discretionary,,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,7,Yes,300000,Yes,Yes,Yes,No,740,1950,Decrease,Increase,500,350000,Yes,280000,,0,Neither satisfied or dissatisfied,Yes,5,Somewhat less,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat important,Somewhat important,Not important,Extremely important,Somewhat important,Yes,800,500,5,Intellectual Property,,United States,Dallas,,75201,Male,43,White,University of Nebraska--Lincoln,,1
Yes,Yes,Nonequity,No,"Bonus,Nonequity incentive compensation,Stock,Options",,"Formulaic, based on firm performance",,"401K,Profit sharing plan,SERP (Supplemental Executive Retirement Plan),Medical,Dental,Short-term disability,Long-term disability,Life insurance,Car allowance,Gym/health club membership",,5.5,Yes,Fluctuating workweek,,15,No,,No,No,Yes,Yes,425,1300,Decrease,Decrease,1000,555000,No,2,8,,Somewhat satisfied,Yes,50,Much less,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Extremely important,Highly important,Extremely important,Extremely important,Extremely important,No,26,6,4,International Arbitration,,Western Europe,,,,Female,42,White,Other,,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation",,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,8,No,,No,No,Yes,No,525,1900,Stay the same,Stay the same,200,550000,No,20000,,5,Very satisfied,No,,Somewhat more,80,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Highly important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,50,20,3,Bankruptcy,,United States,Boston,,2210,Male,58,White,Other,,1
Yes,Yes,Nonequity,Yes,Bonus,,Entirely discretionary,,"401K,Medical,Short-term disability",,4.5,No,Time and a half,,10,No,,No,No,Yes,No,210,2000,Stay the same,Stay the same,100,210000,Yes,"5,000",,5,Somewhat dissatisfied,No,,Somewhat less,,Mostly dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly dissatisfied,Very satisfied,Mostly satisfied,Extremely important,Somewhat important,Somewhat important,Highly important,Somewhat important,Yes,29,23,6,Other (Please specify),Toxic Tort,United States,Other (Please specify),New Orleans,70163,Female,48,White,Other,,1
Yes,No,,Yes,Bonus,,"Formulaic, based on individual performance",,"401K,Short-term disability,Long-term disability,Life insurance",,6,No,Organization doesn't compensate for overtime,,5.5,Yes,250000,No,,Yes,No,425,1050,Stay the same,Stay the same,500,200000,No,25000,,75,Somewhat satisfied,No,,About the same,,Mostly satisfied,Very satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Very satisfied,Highly important,Somewhat important,Somewhat important,Highly important,Somewhat important,Yes,45,35,5,Employment,,United States,Other (Please specify),kansas city,64108,Male,69,White,Other,,1
Yes,Yes,Equity,No,Bonus,,"Discretionary, based on firm performance",,"401K,Defined benefit pension plan,Cash balance pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance,Car allowance",,20,No,Organization doesn't compensate for overtime,,8,No,,No,No,No,No,190,800,Increase,Decrease,1700,550000,Yes,120000,8,,Somewhat satisfied,No,,Somewhat more,2.5,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly dissatisfied,Mostly dissatisfied,Mostly satisfied,Very satisfied,Mostly dissatisfied,Very satisfied,Somewhat important,Not important,Not important,Somewhat important,Somewhat important,Yes,30,5,7,Tax,,United States,Other (Please specify),Austin ,78665,Male,47,White,Baylor University,,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation,Other",equity based 80% formula 20% subjective,"Formulaic, based on individual performance",,"401K,Medical,Long-term disability,Life insurance",,3,No,Time and a half,,7,Yes,"150,000",No,No,Yes,No,375,1500,Increase,Stay the same,500,400000,Yes,"300,000",,0,Somewhat dissatisfied,No,,Somewhat less,0.5,Mostly dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly dissatisfied,Very satisfied,Mostly dissatisfied,Very satisfied,Very satisfied,Extremely important,Highly important,Highly important,Somewhat important,Somewhat important,Yes,35,15,23,Other (Please specify),business and real estate,United States,Other (Please specify),Cleveland,44122,Male,61,White,Other,,1
Yes,Yes,Nonequity,Yes,Bonus,,Entirely discretionary,,"401K,Medical,Dental,Short-term disability,Long-term disability",,5,No,Time and a half,,7,Yes,"200,000",No,No,Yes,No,255,1850,Stay the same,Stay the same,100,240000,Yes,240000,,0,Somewhat satisfied,Yes,20,About the same,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Extremely important,Extremely important,Somewhat important,Highly important,Highly important,Yes,135,50,2,Insurance,,United States,Los Angeles,,90025,Female,48,White,Other,,1
Yes,No,,Yes,"Bonus,Cashouts",,"Formulaic, based on firm performance",,"401K,Profit sharing plan,Medical,Dental,Long-term disability,Life insurance",,0,No,Time and a half,,7,No,,No,,Yes,Yes,325,2100,Decrease,Increase,300,320000,Yes,320000,,0,Somewhat satisfied,No,,About the same,,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Very satisfied,Highly important,Somewhat important,Somewhat important,Somewhat important,Highly important,Yes,33,18,23,Employment,,United States,Other (Please specify),Tampa,33606,Male,47,White,Duke University,,1
